Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
negroes,negro,,,2.6
niga,nigger,,,2.6
nicka,nigger,,,2.6
niccer,nigger,,,2.6
mothafuckz,motherfucker,,,2.6
mother fuck you,motherfucker,,,2.6
mothafuckas,motherfucker,,,2.6
mothaf@cked,motherfucker,,,2.6
mothafuckin,motherfucker,,,2.6
mof0s,motherfucker,,,2.6
mothafcked,motherfucker,,,2.6
mothafuckaz,motherfucker,,,2.6
mothafuckers,motherfucker,,,2.6
mothafucced,motherfucker,,,2.6
mothafuckins,motherfucker,,,2.6
mongrel,mongrel,,,2.6
mofcker,motherfucker,,,2.6
m0fo,motherfucker,,,2.6
lady-boy,ladyboy,,,2.6
m@derfuckers,motherfucker,,,2.6
mf'ers,motherfucker,,,2.6
m0fos,motherfucker,,,2.6
k!k3,kike,,,2.6
jiggs,jiggaboo,,,2.6
jizzfucker,fuck,jizz,,2.6
jiggerboo,jiggaboo,,,2.6
knobjokey,knob,,,2.6
ku kluxer,ku kluxer,,,2.6
higger,nigger,,,2.6
higg@,nigger,,,2.6
gay fuck,fuck,gay,,2.6
g@yshit,shit,gay,,2.6
g@y b1tch,bitch,gay,,2.6
gaysian,gay,,,2.6
gay bitch,gay,bitch,,2.6
gay ass,gay,ass,,2.6
go fuck yourself,fuck,,,2.6
fuckwhore,fuck,whore,,2.6
fuckbag,fuck,,,2.6
fuggerz,fuck,,,2.6
futhamucka,motherfucker,,,2.6
fucktards,fuck,retard,,2.6
fuku,fuck,,,2.6
fuckheaded,fuck,,,2.6
fuckboy,fuck,,,2.6
fuckheads,fuck,,,2.6
fuccing,fuck,,,2.6
fag hag,faggot,hag,,2.6
finger fuck,fuck,,,2.6
dumbass fucker,fuck,ass,,2.6
dothead,dothead,,,2.6
darkass,ass,,,2.6
cuunt,cunt,,,2.6
cuntlickers,cunt,,,2.6
cunt,cunt,,,2.6
cunt fart,cunt,fart,,2.6
cunts,cunt,,,2.6
cooter shooting,coot,,,2.6
cock sucking boiolas,cock,,,2.6
c00nies,coon,,,2.6
butt-fucking-bandit,fuck,butt,,2.6
chinavirus,china virus,,,2.6
carpetmuncher,carpet muncher,,,2.6
butthole boy,butt,,,2.6
cawksucker,cock,,,2.6
beaner,beaner,,,2.6
beaners,beaner,,,2.6
asshole fucker,fuck,ass,,2.6
ass fecker,fuck,ass,,2.6
ass-fuckers,fuck,ass,,2.6
assfukker,fuck,ass,,2.6
ass fucking boiolas,fuck,ass,boiolas,2.6
assfvcker,fuck,ass,,2.6
assfuck,fuck,ass,,2.6
assfook,ass,fuck,,2.6
ass fucker,fuck,ass,,2.6
ass fucking nob jokeys,fuck,ass,knob,2.6
assfck,ass,fuck,,2.6
arsefucker,fuck,arse,,2.6
arse-fucker,fuck,arse,,2.6
assfkcer,ass,fuck,,2.6
arse-fuckers,fuck,arse,,2.6
tongue fucker,fuck,,,2.4
throater,throater,,,2.4
twatface,twat,,,2.4
transvestite,transvestite,,,2.4
tacohead,tacohead,,,2.4
wop,wop,,,2.4
zipperhead,zipperhead,,,2.4
stupid fucker,fuck,,,2.4
stupid hoe,hoe,,,2.4
shitheadfuckface,fuck,shit,,2.4
shitfucks,fuck,shit,,2.4
shitfucker,fuck,shit,,2.4
slut hole,slut,,,2.4
shitdick,shit,dick,,2.4
shitfck,shit,fuck,,2.4
scamfuck,fuck,,,2.4
shit fuck,fuck,shit,,2.4
scumfvck,fuck,scum,,2.4
shiesterfucks,fuck,shit,,2.4
sh3male,shemale,,,2.4
sh1tdick,shit,dick,,2.4
pussy licking,pussy,,,2.4
pussy lick,pussy,,,2.4
pussy licker,pussy,,,2.4
phukhead,fuck,,,2.4
pillow biter,pillow biter,,,2.4
phuckings,fuck,,,2.4
phucking,fuck,,,2.4
packingfudgefucking,fudge packer,fuck,,2.4
packsomefudgefucker,fudge packer,fuck,,2.4
packingfudge,fudge packer,,,2.4
packing fudge,fudge packer,,,2.4
nobjocky,knob,,,2.4
pedos,pedophile,,,2.4
n3gro,negro,,,2.4
motherfuck,motherfucker,,,2.4
motherfecka,motherfucker,,,2.4
motherfxck,motherfucker,,,2.4
muhfucking,motherfucker,,,2.4
motherfacking,motherfucker,,,2.4
mutha fucker,motherfucker,,,2.4
