Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
d!ldo,dildo,,,1.4
dild0,dildo,,,1.0
3jakulating,ejaculation,,,1.6
fagshit,faggot,shit,,3.0
faggot mofoes,faggot,motherfucker,,3.0
phags,faggot,,,3.0
phagot,faggot,,,3.0
phaggots,faggot,,,3.0
faggy,faggot,,,3.0
f@gs,faggot,,,3.0
f@ggot,faggot,,,3.0
fags,faggot,,,3.0
f@gg0t,faggot,,,3.0
fag0t,faggot,,,3.0
faggoting,faggot,,,3.0
faggs,faggot,,,3.0
faggot son-of-a-bitch,faggot,bitch,,3.0
fagg0t,faggot,,,3.0
fagging,faggot,,,3.0
faget,faggot,,,3.0
faggots,faggot,,,3.0
ph@ggots,faggot,,,2.8
phaggot,faggot,,,2.8
f@gging,faggot,,,2.8
f@g,faggot,,,2.8
fag asses,faggot,ass,,2.8
fagot,faggot,,,2.8
faggo,faggot,,,2.8
fag,faggot,,,2.8
fag,faggot,,,2.6
feg,faggot,,,2.4
shitfudgefucker,fuck,shit,fudge packer,2.6
jizzfucker,fuck,jizz,,2.6
shittasticfuck,fuck,shit,,2.2
shitfuckhead,fuck,shit,,2.6
sh1tfuck,fuck,shit,,2.6
shit fuck,fuck,shit,,2.4
fuck,fuck,,,2.2
fuck,fuck,,,2.2
fckyeah,fuck,,,1.6
fugly,fuck,,,1.4
spicfuck,fuck,spic,,3.0
piss fuckhead,fuck,,,3.0
penisfucker,fuck,penis,,3.0
penisfuckers,fuck,penis,,3.0
fucking retard,fuck,retard,,3.0
fucker,fuck,,,3.0
fucker,fuck,,,3.0
buttfucker,fuck,,,3.0
buttfuckers,fuck,,,3.0
assfvck3r,fuck,ass,,3.0
shitheadfucker,fuck,shit,,2.8
shitfacefuck,fuck,shit,,2.8
shitassfuckface,fuck,shit,ass,2.8
shiesterfuckface,fuck,shit,,2.8
scumfucker,fuck,scum,,2.8
shit fucker,fuck,shit,,2.8
pussy fucker,fuck,,,2.8
p3nisfcukers,fuck,penis,,2.8
fuckshithead,fuck,shit,,2.8
fucktard,fuck,retard,,2.8
fucking asshole,fuck,ass,,2.8
fukwhore,fuck,whore,,2.8
fuck,fuck,motherfucker,,2.8
fuck,fuck,,,2.8
fcktard,fuck,retard,,2.8
fuck,fuck,,,2.8
fucking,fuck,,,2.8
dick fucker,fuck,dick,,2.8
ass-fucker,fuck,ass,,2.8
ass fuck,fuck,ass,,2.8
arsefuck,fuck,arse,,2.8
assfucker,fuck,ass,,2.8
assfukkerz,fuck,ass,,2.8
assfuck3r,fuck,ass,,2.8
assfuckers,fuck,ass,,2.8
assfukka,fuck,ass,,2.8
@ssfucker,fuck,ass,,2.8
@ssfcker,fuck,ass,,2.8
fucker,fuck,,,2.6
shitterfucker,fuck,shit,,2.6
shytfeisterfuck,fuck,,,2.6
shitassfucker,fuck,shit,ass,2.6
shitfacefucker,fuck,shit,,2.6
shit-fucker,fuck,shit,,2.6
fuck,fuck,,,2.6
fuckwhore,fuck,whore,,2.6
fuckbag,fuck,,,2.6
fuggerz,fuck,,,2.6
fucktards,fuck,retard,,2.6
fuku,fuck,,,2.6
fuckheaded,fuck,,,2.6
fuckboy,fuck,,,2.6
fuckheads,fuck,,,2.6
fuccing,fuck,,,2.6
dumbass fucker,fuck,ass,,2.6
asshole fucker,fuck,ass,,2.6
ass fecker,fuck,ass,,2.6
ass-fuckers,fuck,ass,,2.6
assfukker,fuck,ass,,2.6
assfvcker,fuck,ass,,2.6
assfuck,fuck,ass,,2.6
ass fucker,fuck,ass,,2.6
arsefucker,fuck,arse,,2.6
arse-fucker,fuck,arse,,2.6
arse-fuckers,fuck,arse,,2.6
shitheadfuckface,fuck,shit,,2.4
shitfucks,fuck,shit,,2.4
shitfucker,fuck,shit,,2.4
scamfuck,fuck,,,2.4
scumfvck,fuck,scum,,2.4
shiesterfucks,fuck,shit,,2.4
phukhead,fuck,,,2.4
phuckings,fuck,,,2.4
phucking,fuck,,,2.4
fvcker,fuck,,,2.4
fuckshitface,fuck,shit,,2.4
fuckshit,fuck,shit,,2.4
fucknuckle,fuck,,,2.4
fucs,fuck,,,2.4
fuck arse,fuck,arse,,2.4
fucking ,fuck,,,2.4
fuckass,fuck,ass,,2.4
fuckasses,fuck,ass,,2.4
fuckers,fuck,,,2.4
fucking bastard,fuck,bastard,,2.4
fck,fuck,,,2.4
f0cker,fuck,,,2.4
fcuker,fuck,,,2.4
fker,fuck,,,2.4
darkfuck,fuck,,,2.4
cyberfcks,fuck,,,2.4
clusterfucker,fuck,,,2.4
bitchfuck,fuck,bitch,,2.4
assfuckerz,fuck,ass,,2.4
assfukah,fuck,ass,,2.4
@ssfvcker,fuck,ass,,2.4
shitsfuck,fuck,shit,,2.2
shitfuck,fuck,shit,,2.2
shittyfuckface,fuck,shit,,2.2
shiesterfuckhead,fuck,shit,,2.2
shiesterfuck,fuck,shit,,2.2
phucker,fuck,,,2.2
phuku,fuck,,,2.2
phukshit,fuck,shit,,2.2
phukings,fuck,,,2.2
phukker,fuck,,,2.2
phuq,fuck,,,2.2
phuck,fuck,,,2.2
phuked,fuck,,,2.2
phuking,fuck,,,2.2
phuks,fuck,,,2.2
phuccer,fuck,,,2.2
phvckings,fuck,,,2.2
fvck ,fuck,,,2.2
fvckker,fuck,,,2.2
fxcking,fuck,,,2.2
fvckwhi,fuck,,,2.2
fvckbunny,fuck,,,2.2
fxcker,fuck,,,2.2
fvckers,fuck,,,2.2
fukka,fuck,,,2.2
fucx,fuck,,,2.2
fuckwad,fuck,,,2.2
fukwit,fuck,,,2.2
fukkuh,fuck,,,2.2
fucking ,fuck,,,2.2
fuk1ng,fuck,,,2.2
fuckstar,fuck,,,2.2
fukin,fuck,,,2.2
fuckstick,fuck,,,2.2
fuckk,fuck,,,2.2
fuckster,fuck,,,2.2
fux,fuck,,,2.2
fuks,fuck,,,2.2
fucked ,fuck,,,2.2
fuccers,fuck,,,2.2
fuckface,fuck,,,2.2
fuckhead,fuck,,,2.2
fuckfaces,fuck,,,2.2
fucker,fuck,,,2.2
fuckem,fuck,,,2.2
fuker,fuck,,,2.2
fucka,fuck,,,2.2
fucking,fuck,,,2.2
fuckaz,fuck,ass,,2.2
fckk,fuck,,,2.2
f_u_c_k,fuck,,,2.2
f@cker,fuck,,,2.2
fkker,fuck,,,2.2
f0ckers,fuck,,,2.2
fckking,fuck,,,2.2
fcukers,fuck,,,2.2
fecker,fuck,,,2.2
fcvking,fuck,,,2.2
fcuks,fuck,,,2.2
fart-fucker,fuck,,,2.2
fckahz,fuck,,,2.2
fcuked,fuck,,,2.2
fcker,fuck,,,2.2
fcukker,fuck,,,2.2
fcking,fuck,,,2.2
fcuking,fuck,,,2.2
fking,fuck,,,2.2
dumbfucks,fuck,,,2.2
dafuq,fuck,,,2.2
cyberfukks,fuck,,,2.2
cyberfucks,fuck,,,2.2
cyberfck,fuck,,,2.2
cyberfvcks,fuck,,,2.2
cyberfuccs,fuck,,,2.2
butt fuck,fuck,,,2.2
clusterfucked,fuck,,,2.2
butt-fucker,fuck,,,2.2
buttfuck,fuck,,,2.2
phuckin,fuck,,,2.0
phucks,fuck,,,2.0
phucked,fuck,,,2.0
phuc,fuck,,,2.0
phukeds,fuck,,,2.0
phucc,fuck,,,2.0
phuk,fuck,,,2.0
phukkeds,fuck,,,2.0
phucchead,fuck,,,2.0
phukked,fuck,,,2.0
holyfuck,fuck,,,2.0
fvcka,fuck,,,2.0
fxcked,fuck,,,2.0
fvcking,fuck,,,2.0
fuck,fuck,,,2.0
fucking hell,fuck,hell,,2.0
fukking,fuck,,,2.0
fuking,fuck,,,2.0
fukheads,fuck,,,2.0
fugger,fuck,,,2.0
fux0r,fuck,,,2.0
fukkings,fuck,,,2.0
fuggings,fuck,,,2.0
fuckup,fuck,,,2.0
fuckless,fuck,,,2.0
fukk,fuck,,,2.0
fuk1n,fuck,,,2.0
fukked,fuck,,,2.0
fukker,fuck,,,2.0
fucks,fuck,,,2.0
fukcs,fuck,,,2.0
fukkers,fuck,,,2.0
fuk,fuck,,,2.0
fuckmachine,fuck,,,2.0
fuckin,fuck,,,2.0
fucca,fuck,,,2.0
fucker off,fuck,,,2.0
fucc,fuck,,,2.0
fuccs,fuck,,,2.0
fuck off,fuck,,,2.0
fuckahs,fuck,,,2.0
f0cked,fuck,,,2.0
f0ck,fuck,,,2.0
fcked,fuck,,,2.0
fcuk,fuck,,,2.0
fccuker,fuck,,,2.0
fcks,fuck,,,2.0
fckin,fuck,,,2.0
fckked,fuck,,,2.0
fckedup,fuck,,,2.0
fackuhs,fuck,,,2.0
focker,fuck,,,2.0
fked,fuck,,,2.0
fk bunny,fuck,,,2.0
dumbfucker,fuck,,,2.0
cyberfucs,fuck,,,2.0
cyberfukk,fuck,,,2.0
clusterfucks,fuck,,,2.0
clusterfucking,fuck,,,2.0
shittyfuck,fuck,shit,,1.8
stfu,fuck,,,1.8
phukking,fuck,,,1.8
phuccing,fuck,,,1.8
phuck3r,fuck,,,1.8
phukk,fuck,,,1.8
phukup,fuck,,,1.8
phuqs,fuck,,,1.8
phucup,fuck,,,1.8
fvckin,fuck,,,1.8
fucked,fuck,,,1.8
fucking shit,fuck,shit,,1.8
fuq,fuck,,,1.8
fvck,fuck,,,1.8
fugged,fuck,,,1.8
f@k,fuck,,,1.8
f'ed,fuck,,,1.8
fcka,fuck,,,1.8
fooker,fuck,,,1.8
fookuh,fuck,,,1.8
fkings,fuck,,,1.8
clusterfuck,fuck,,,1.8
shitefuck,fuck,shit,,1.6
fxck,fuck,,,1.6
fuc,fuck,,,1.6
feck,fuck,,,1.6
fick,fuck,,,1.6
fkbny,fuck,,,1.6
fook,fuck,,,1.6
f@ck,fuck,,,1.6
fack,fuck,,,1.4
fuckhead,fuck,,,2.8
fuck,fuck,,,2.6
gook,gook,,,2.8
hoe,hoe,,,2.4
hoe-asses,hoe,ass,,2.2
hoebag,hoe,,,2.0
hoe,hoe,,,2.0
hoes,hoe,,,2.0
jiggyboo,jiggaboo,,,3.0
jiggerboos,jiggaboo,,,3.0
jiggaboos,jiggaboo,,,3.0
jiggaboo,jiggaboo,,,3.0
jigger,jiggaboo,nigger,,3.0
jiggabu,jiggaboo,,,3.0
jigro,jiggaboo,nigger,,2.8
jigaboos,jiggaboo,,,2.8
jiggas,jiggaboo,,,2.8
jiggs,jiggaboo,,,2.6
jiggerboo,jiggaboo,,,2.6
jigga,jiggaboo,nigger,,2.4
jiggabooboo,jiggaboo,,,2.4
jigaboo,jiggaboo,,,2.4
jizzstain,jizz,,,2.8
jizzbags,jizz,,,2.4
jizz-jockey,jizz,,,2.2
jizzes,jizz,,,2.2
jizzed,jizz,,,2.0
jizzy,jizz,,,1.6
jizzing,jizz,,,1.6
jizz,jizz,,,1.6
jizzsacks,jizz,,,1.8
k..!ke,kike,,,3.0
k1k3,kike,,,3.0
k!ke,kike,,,3.0
kike,kike,,,3.0
kikes,kike,,,3.0
kyke,kike,,,3.0
k1ke,kike,,,2.8
k!k3,kike,,,2.6
kkk,kkk,,,1.8
klan,klan,,,1.8
ku kluxer,ku kluxer,,,2.6
m@asterbated,masturbate,,,1.4
milf,milf,,,1.8
mong,mong,,,1.8
m0ng0l0id,mongoloid,,,2.2
mongoloid,mongoloid,,,2.2
m0ngoloid,mongoloid,,,2.2
mof0s,motherfucker,,,2.6
motherfxck,motherfucker,,,2.4
m0f0s,motherfucker,,,2.4
mofuk,motherfucker,,,2.2
m0foes,motherfucker,,,2.2
mofoes,motherfucker,,,2.0
mofucker,motherfucker,,,2.0
mothterfuck,motherfucker,,,3.0
motherfukker,motherfucker,,,3.0
motherfuckeds,motherfucker,,,3.0
motherfucked,motherfucker,,,3.0
motherfuckkas,motherfucker,,,3.0
muthafuckker,motherfucker,,,3.0
muthafukka,motherfucker,,,3.0
mtherfuker,motherfucker,,,3.0
motherfuckkers,motherfucker,,,3.0
motherfukka,motherfucker,,,3.0
motherfucker,motherfucker,,,3.0
motherfvcker,motherfucker,,,3.0
muddafukkas,motherfucker,,,3.0
motherfucks,motherfucker,,,3.0
muthafeckers,motherfucker,,,3.0
motherfuccas,motherfucker,,,3.0
motherfuckka,motherfucker,,,3.0
motherfuccers,motherfucker,,,3.0
muthafuckers,motherfucker,,,3.0
muthafuckings,motherfucker,,,3.0
motherfcking,motherfucker,,,3.0
motherfckin,motherfucker,,,3.0
mothafuccer,motherfucker,,,3.0
mothafuckasses,motherfucker,ass,,3.0
m@derfuck,motherfucker,,,3.0
mothafucker,motherfucker,,,3.0
mothafucking,motherfucker,,,3.0
motherfucking,motherfucker,,,3.0
mothafuckazzes,motherfucker,,,3.0
motherfuckers,motherfucker,,,3.0
mothafuckers,motherfucker,,,3.0
mothafuccing,motherfucker,,,3.0
m0therfvcker,motherfucker,,,3.0
m0thafucker,motherfucker,,,3.0
m0therfucking,motherfucker,,,3.0
motherfucker,motherfucker,,,3.0
mfukk,motherfucker,,,3.0
m0thafucked,motherfucker,,,3.0
faggot mothafuckers,motherfucker,faggot,,3.0
cocksucking mothafuckers,motherfucker,cock,,3.0
shitfuckmotherfucker,motherfucker,shit,fuck,2.8
ass mofoes,motherfucker,ass,,2.8
fucka,motherfucker,,,2.8
muthafucka,motherfucker,,,2.8
motherfuckins,motherfucker,,,2.8
motherfvcking,motherfucker,,,2.8
motherfvckers,motherfucker,,,2.8
motherfucking,motherfucker,,,2.8
motherfuckers,motherfucker,,,2.8
motherfuckingshit,motherfucker,shit,,2.8
motherfckshit,motherfucker,shit,,2.8
motherfk,motherfucker,,,2.8
motherfecker,motherfucker,,,2.8
motherfuckings,motherfucker,,,2.8
mutherfuckers,motherfucker,,,2.8
muthafuckkers,motherfucker,,,2.8
motherfcked,motherfucker,,,2.8
motherfcks,motherfucker,,,2.8
muthafecker,motherfucker,,,2.8
mothafucc,motherfucker,,,2.8
mothafucked,motherfucker,,,2.8
mothafvcked,motherfucker,,,2.8
motherfuck,motherfucker,,,2.8
mofuck,motherfucker,,,2.8
mothafucka,motherfucker,,,2.8
mothafuck,motherfucker,,,2.8
mothafcking,motherfucker,,,2.8
motherfucka,motherfucker,,,2.8
mothafuckeds,motherfucker,,,2.8
mothafucks,motherfucker,,,2.8
mothafucka,motherfucker,,,2.8
mothafuckings,motherfucker,,,2.8
m@derfaker,motherfucker,,,2.8
mfukker,motherfucker,,,2.8
m0therfuckeds,motherfucker,,,2.8
m0thafucking,motherfucker,,,2.8
mothafuckers,motherfucker,,,2.8
dumbass mothafuckers,motherfucker,ass,,2.8
mutherfucker,motherfucker,,,2.6
motherfvcked,motherfucker,,,2.6
motherfucca,motherfucker,,,2.6
mthrfcker,motherfucker,,,2.6
mothfck,motherfucker,,,2.6
motherfvck,motherfucker,,,2.6
mudderfukker,motherfucker,,,2.6
motherfukkings,motherfucker,,,2.6
motherfxcking,motherfucker,,,2.6
motherfuckin,motherfucker,,,2.6
motherf@kka,motherfucker,,,2.6
mothafuckz,motherfucker,,,2.6
motherfuck,motherfucker,,,2.6
mothafuckas,motherfucker,,,2.6
mothaf@cked,motherfucker,,,2.6
mothafuckin,motherfucker,,,2.6
mothafcked,motherfucker,,,2.6
mothafuckaz,motherfucker,,,2.6
mothafuckers,motherfucker,,,2.6
mothafucced,motherfucker,,,2.6
mothafuckins,motherfucker,,,2.6
mofcker,motherfucker,,,2.6
m0fo,motherfucker,,,2.6
m@derfuckers,motherfucker,,,2.6
mf'ers,motherfucker,,,2.6
m0fos,motherfucker,,,2.6
futhamucka,motherfucker,,,2.6
motherfuck,motherfucker,,,2.4
motherfecka,motherfucker,,,2.4
muhfucking,motherfucker,,,2.4
